"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4"
"500052","GROUP HEALTH CENTRAL HOSPITAL","201 - 16TH AVENUE EAST","","","SEATTLE","WA","98112","KING","2063263000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"190079","ST CHARLES PARISH HOSPITAL","1057 PAUL MAILLARD ROAD","","","LULING","LA","70070","SAINT CHARLES","9857856242","86","29","","71","24","The number of cases is too small to reliably tell how well a hospital is performing"
"440141","CUMBERLAND RIVER HOSPITAL","100 OLD JEFFERSON ST","","","CELINA","TN","38551","CLAY","9312433581","93","14","The number of cases is too small to reliably tell how well a hospital is performing","86","29",""
"380051","SALEM HOSPITAL","890 OAK STREET, SE","","","SALEM","OR","97301","MARION","5035615200","98","171","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","108","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250078","FORREST GENERAL HOSPITAL","6051 US HIGHWAY 49","","","HATTIESBURG","MS","39404","FORREST","6012887000","99","378","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","220","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"29002F","VA SIERRA NEVADA HEALTHCARE SYSTEM","1000 LOCUST STREET","","","RENO                          ","NV","89502","WASHOE","7753281263","97","148","","100","69",""
"160005","ST ANTHONY REGIONAL HOSPITAL & NURSIING HOME","311 SOUTH CLARK STREET","","","CARROLL","IA","51401","CARROLL","7127923581","95","37","","90","48",""
"490134","PIEDMONT GERIATRIC HOSPITAL","5001 E PATRICK HENRY HWY - HIGHWAY 360 AND 460","","","BURKEVILLE","VA","23922","NOTTOWAY","4347674401","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"191322","ABROM KAPLAN MEMORIAL HOSPITAL","1310 WEST SEVENTH STREET","","","KAPLAN","LA","70548","VERMILION","3376438300","100","16","The number of cases is too small to reliably tell how well a hospital is performing","89","19","The number of cases is too small to reliably tell how well a hospital is performing"
"170188","KANSAS CITY ORTHOPAEDIC INSTITUTE","3651 COLLEGE BLVD","","","LEAWOOD","KS","66211","JOHNSON","9133197633","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"05027F","VA LONG BEACH HEALTHCARE SYSTEM","5901 E. SEVENTH STREET","","","LONG BEACH                    ","CA","90822","LOS ANGELES","5628268000","99","119","","100","64",""
"060015","CENTURA HEALTH-ST ANTHONY HOSPITAL","11600 WEST 2ND PLACE","","","LAKEWOOD","CO","80228","JEFFERSON","7203210000","95","202","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","127","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050668","LAGUNA HONDA HOSPITAL & REHABILITATION CENTER","375 LAGUNA HONDA BLVD","","","SAN FRANCISCO","CA","94116","SAN FRANCISCO","4157592300","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"190268","LAFAYETTE GENERAL SURGICAL HOSPITAL","1000 W PINHOOK RD SUITE 100","","","LAFAYETTE","LA","70503","LAFAYETTE","3372898095","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"240075","ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","523 NORTH 3RD STREET","","","BRAINERD","MN","56401","CROW WING","2188292861","96","94","","83","75",""
"100248","LARGO MEDICAL CENTER","201 14TH ST SW","","","LARGO","FL","33770","PINELLAS","7275885200","99","87","","99","106",""
"050492","CLOVIS COMMUNITY MEDICAL CENTER","2755 HERNDON AVE","","","CLOVIS","CA","93611","FRESNO","5593244000","97","206","","98","144",""
"501312","PROSSER MEMORIAL HOSPITAL","723 MEMORIAL STREET","","","PROSSER","WA","99350","BENTON","5097862222","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"351312","NORTHWOOD DEACONESS HEALTH CENTER","PO BOX 190","","","NORTHWOOD","ND","58267","GRAND FORKS","7015876060","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"050735","WHITTIER HOSPITAL MEDICAL CENTER","9080 COLIMA RD","","","WHITTIER","CA","90605","LOS ANGELES","5629453561","99","189","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","65","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050235","PROVIDENCE SAINT JOSEPH MEDICAL CTR","501 SOUTH BUENA VISTA","","","BURBANK","CA","91505","LOS ANGELES","8188435111","100","271","","96","136",""
"330188","MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","5300 MILITARY ROAD","","","LEWISTON","NY","14092","NIAGARA","7162974800","98","187","","86","146",""
"450271","WISE REGIONAL HEALTH SYSTEM","609 MEDICAL CENTER DRIVE","","","DECATUR","TX","76234","WISE","9406275921","96","132","","99","69",""
"050291","SUTTER MEDICAL CENTER OF SANTA ROSA","3325 CHANATE RD","","","SANTA ROSA","CA","95404","SONOMA","7075764000","97","75","","93","43",""
"471301","GIFFORD MEDICAL CENTER","44 SOUTH MAIN STREET","","","RANDOLPH","VT","05060","ORANGE","8027284441","100","63","","100","61",""
"341308","YADKIN VALLEY COMMUNITY HOSPITAL","624 WEST MAIN ST","","","YADKINVILLE","NC","27055","YADKIN","3366792041","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"230047","HENRY FORD MACOMB HOSPITAL","15855 NINETEEN MILE RD","","","CLINTON TOWNSHIP","MI","48038","MACOMB","5862632300","97","766","","95","436",""
"051329","SUTTER LAKESIDE HOSPITAL","5176 HILL ROAD EAST","","","LAKEPORT","CA","95453","LAKE","7072625000","91","81","","91","58",""
"190026","RAPIDES REGIONAL MEDICAL CENTER","211 4TH STREET","","","ALEXANDRIA","LA","71301","RAPIDES","3187693000","98","118","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","53","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"360012","MOUNT CARMEL ST ANN'S","500 SOUTH CLEVELAND AVENUE","","","WESTERVILLE","OH","43081","FRANKLIN","6148984000","97","158","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","120","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"381312","COQUILLE VALLEY HOSPITAL DISTRICT","940 EAST 5TH STREET","","","COQUILLE","OR","97423","COOS","5413963101","85","26","","97","29",""
"440176","INDIAN PATH MEDICAL CENTER","2000 BROOKSIDE DR","","","KINGSPORT","TN","37660","SULLIVAN","4234311941","100","145","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","91","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"140275","GENESIS MEDICAL CENTER ILLINI CAMPUS","801 ILLINI DRIVE","","","SILVIS","IL","61282","ROCK ISLAND","3097929363","100","184","","100","109",""
"370202","HILLCREST HOSPITAL SOUTH","8801 SOUTH 101ST EAST AVENUE","","","TULSA","OK","74133","TULSA","9182944000","98","129","","97","104",""
"450051","METHODIST DALLAS MEDICAL CENTER","1441 NORTH BECKLEY AVENUE","","","DALLAS","TX","75203","DALLAS","2149472879","99","263","","99","109",""
"330144","IRA DAVENPORT MEMORIAL HOSPITAL, INC","7571 STATE ROUTE 54","","","BATH","NY","14810","STEUBEN","6077768500","93","54","","82","50",""
"230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","","","GRAND RAPIDS","MI","49503","KENT","6163911774","97","961","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","467","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"360041","PARMA COMMUNITY GENERAL HOSPITAL","7007 POWERS BOULEVARD","","","PARMA","OH","44129","CUYAHOGA","4407433000","100","434","","93","273",""
"450348","FALLS COMMUNITY HOSPITAL AND CLINIC","322 COLEMAN STREET","","","MARLIN","TX","76661","FALLS","2548033561","78","58","The hospital indicated that the data submitted for this measure were based on a sample of cases","87","62","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"181315","EPHRAIM MCDOWELL FORT LOGAN HOSPITAL","110 METKER TRAIL","","","STANFORD","KY","40484","LINCOLN","6063654600","100","55","","100","43",""
"501309","PROVIDENCE ST JOSEPH HOSPITAL","500 EAST WEBSTER","","","CHEWELAH","WA","99109","STEVENS","5099358211","97","33","","87","30",""
"370153","ELKVIEW GENERAL HOSPITAL","429 WEST ELM STREET","","","HOBART","OK","73651","KIOWA","5807263324","95","19","The number of cases is too small to reliably tell how well a hospital is performing","90","40",""
"050234","SHARP CORONADO HOSPITAL AND HLTHCR CTR","250 PROSPECT PLACE","","","CORONADO","CA","92118","SAN DIEGO","6194356251","100","42","","97","34",""
"171341","HIAWATHA COMMUNITY HOSPITAL","300 UTAH STREET","","","HIAWATHA","KS","66434","BROWN","7857426283","92","12","The number of cases is too small to reliably tell how well a hospital is performing","85","26",""
"500141","ST FRANCIS COMMUNITY HOSPITAL","34515 9TH AVENUE SOUTH","","","FEDERAL WAY","WA","98003","KING","2539448100","99","154","","100","101",""
"670061","SOUTH TEXAS SURGICAL HOSPITAL","6130 PARKWAY DRIVE","","","CORPUS CHRISTI","TX","78414","NUECES","3619932000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"171373","ALLEN COUNTY HOSPITAL","101 SOUTH 1ST STREET","","","IOLA","KS","66749","ALLEN","6203651021","100","34","","100","19","The number of cases is too small to reliably tell how well a hospital is performing"
"670068","TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND","4400 LONG PRAIRIE ROAD","","","FLOWER MOUND","TX","75028","DENTON","9724191530","100","111","","97","76",""
"390321","SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH","1503 CEDAR CREST BOULEVARD","","","ALLENTOWN","PA","18104","LEHIGH","6108719110","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"180025","FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H","4305 NEW SHEPHERDSVILLE ROAD","","","BARDSTOWN","KY","40004","NELSON","5023505000","90","125","","91","107",""
"161360","ORANGE CITY AREA HEALTH SYSTEM","1000 LINCOLN CIRCLE SE","","","ORANGE CITY","IA","51041","SIOUX","7127374984","97","33","","92","26",""
"050101","SUTTER SOLANO MEDICAL CENTER","300 HOSPITAL DR","","","VALLEJO","CA","94589","SOLANO","7075545280","99","107","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","73","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"230053","HENRY FORD HOSPITAL","2799 W GRAND BLVD","","","DETROIT","MI","48202","WAYNE","3139162600","94","195","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","85","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"231311","DECKERVILLE COMMUNITY HOSPITAL","3559 PINE ST","","","DECKERVILLE","MI","48427","SANILAC","8103762835","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"670046","USMD HOSPITAL  AT FORT WORTH LP","5900 DIRKS ROAD","","","FORT WORTH","TX","76132","TARRANT","8174339100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"051314","KERN VALLEY HEALTHCARE DISTRICT","6412 LAUREL AVE","","","LAKE ISABELLA","CA","93240","KERN","7603792681","67","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","74","31","The hospital indicated that the data submitted for this measure were based on a sample of cases"
